,objective_function,edges_similarity,nodes_similarity
0,71981,11,83
1,72385,20,83
2,72392,19,88
3,72537,19,84
4,72555,13,80
5,72586,15,88
6,72637,17,85
7,72662,15,85
8,72681,17,81
9,72747,16,86
10,72752,25,86
11,72774,15,86
12,72831,24,84
13,72837,18,87
14,72847,16,81
15,72856,24,87
16,72929,15,87
17,72948,24,84
18,72975,18,84
19,72986,14,87
20,73033,13,82
21,73042,17,83
22,73049,18,88
23,73072,13,83
24,73088,28,86
25,73092,18,84
26,73104,18,83
27,73105,13,86
28,73107,13,82
29,73138,20,83
30,73162,18,82
31,73167,15,84
32,73185,19,84
33,73208,18,84
34,73220,13,84
35,73221,19,82
36,73230,15,83
37,73235,12,84
38,73247,17,85
39,73259,23,84
40,73297,19,88
41,73299,24,81
42,73313,11,84
43,73325,20,84
44,73326,18,84
45,73337,23,83
46,73352,12,85
47,73362,27,87
48,73391,19,84
49,73393,24,85
50,73405,17,85
51,73419,8,84
52,73428,16,87
53,73434,18,86
54,73435,22,86
55,73437,24,85
56,73439,19,85
57,73449,17,85
58,73455,20,84
59,73483,15,88
60,73502,17,84
61,73502,14,85
62,73506,16,82
63,73515,18,81
64,73519,17,83
65,73531,14,85
66,73537,17,85
67,73538,12,84
68,73541,26,82
69,73544,16,87
70,73555,26,83
71,73560,17,86
72,73566,12,83
73,73587,16,86
74,73611,15,82
75,73622,13,83
76,73634,21,79
77,73675,22,81
78,73684,28,83
79,73686,17,82
80,73687,17,88
81,73697,20,81
82,73704,17,87
83,73709,25,82
84,73743,25,89
85,73762,23,85
86,73770,17,85
87,73773,15,82
88,73775,7,83
89,73792,19,84
90,73801,30,89
91,73802,16,85
92,73811,26,84
93,73811,20,82
94,73820,17,83
95,73834,17,81
96,73844,19,81
97,73850,21,83
98,73856,13,83
99,73861,19,82
100,73861,21,87
101,73870,14,82
102,73883,12,86
103,73889,21,84
104,73899,8,84
105,73900,15,82
106,73902,22,87
107,73917,18,84
108,73924,15,83
109,73927,14,82
110,73928,11,85
111,73931,21,87
112,73933,13,84
113,73934,23,84
114,73940,17,85
115,73949,18,82
116,73968,15,84
117,73980,13,80
118,73995,23,85
119,74003,9,84
120,74004,22,84
121,74007,16,82
122,74020,16,85
123,74023,19,84
124,74025,14,84
125,74044,12,84
126,74051,19,85
127,74054,17,80
128,74057,21,85
129,74059,12,85
130,74060,30,89
131,74071,18,85
132,74072,13,81
133,74075,22,86
134,74079,16,81
135,74082,16,86
136,74089,20,85
137,74090,24,87
138,74092,32,88
139,74093,16,85
140,74094,15,84
141,74102,26,87
142,74112,10,83
143,74112,26,82
144,74112,11,82
145,74122,13,82
146,74136,13,85
147,74139,17,88
148,74141,24,85
149,74145,15,80
150,74146,19,83
151,74149,25,82
152,74149,28,89
153,74150,15,83
154,74152,19,84
155,74157,22,86
156,74164,14,85
157,74166,21,85
158,74167,19,84
159,74168,8,82
160,74172,17,87
161,74175,23,84
162,74176,23,85
163,74178,17,82
164,74178,13,85
165,74188,15,82
166,74193,18,86
167,74196,25,84
168,74199,18,89
169,74211,16,87
170,74211,22,81
171,74215,19,85
172,74220,12,87
173,74223,12,87
174,74224,24,88
175,74228,13,82
176,74228,13,83
177,74235,21,81
178,74237,13,81
179,74238,31,88
180,74239,16,84
181,74241,19,82
182,74241,20,85
183,74249,26,84
184,74260,15,83
185,74261,18,85
186,74262,26,88
187,74263,15,85
188,74284,15,82
189,74285,17,85
190,74286,18,81
191,74289,16,82
192,74291,14,84
193,74294,24,84
194,74296,18,83
195,74301,17,80
196,74306,23,88
197,74312,18,83
198,74315,31,87
199,74319,18,86
200,74340,14,81
201,74340,14,81
202,74347,10,81
203,74349,14,83
204,74357,27,88
205,74361,21,82
206,74365,15,86
207,74379,18,87
208,74383,15,87
209,74385,12,80
210,74393,16,83
211,74398,20,86
212,74406,24,86
213,74408,13,90
214,74414,19,81
215,74418,15,80
216,74428,10,84
217,74430,12,81
218,74434,23,84
219,74434,15,81
220,74441,26,84
221,74446,17,80
222,74450,22,84
223,74451,21,82
224,74451,12,82
225,74453,17,88
226,74453,12,84
227,74465,19,83
228,74470,19,83
229,74480,24,89
230,74486,15,86
231,74493,20,82
232,74493,20,85
233,74493,15,80
234,74494,25,81
235,74494,12,82
236,74500,16,83
237,74509,18,86
238,74517,15,82
239,74528,20,85
240,74542,11,85
241,74542,12,82
242,74544,18,82
243,74545,20,86
244,74551,26,83
245,74551,13,83
246,74569,16,85
247,74572,10,84
248,74573,20,87
249,74578,11,83
250,74582,22,86
251,74588,17,82
252,74591,21,82
253,74593,16,81
254,74594,19,82
255,74607,23,85
256,74614,16,80
257,74615,17,84
258,74616,16,86
259,74636,21,84
260,74637,16,82
261,74641,22,84
262,74648,14,84
263,74654,17,82
264,74660,6,85
265,74662,14,82
266,74671,28,88
267,74672,17,82
268,74677,21,87
269,74678,23,86
270,74681,16,82
271,74687,13,81
272,74693,14,85
273,74697,17,82
274,74706,12,82
275,74710,20,84
276,74711,13,86
277,74713,25,82
278,74719,18,82
279,74719,12,82
280,74724,13,82
281,74730,16,80
282,74731,26,87
283,74744,16,82
284,74747,15,77
285,74755,17,85
286,74759,14,81
287,74762,20,87
288,74764,24,81
289,74766,17,83
290,74775,14,82
291,74777,13,80
292,74780,22,82
293,74782,21,82
294,74783,16,82
295,74796,17,84
296,74796,9,82
297,74798,20,85
298,74800,20,89
299,74804,14,83
300,74805,11,86
301,74812,12,82
302,74812,12,85
303,74821,17,81
304,74821,26,85
305,74822,22,86
306,74826,14,85
307,74827,16,83
308,74840,13,85
309,74847,18,81
310,74848,19,84
311,74850,18,84
312,74852,21,87
313,74853,18,82
314,74855,16,85
315,74859,17,80
316,74864,16,84
317,74865,20,81
318,74865,18,84
319,74870,27,88
320,74871,26,84
321,74883,21,84
322,74885,23,86
323,74886,17,83
324,74888,9,85
325,74894,19,83
326,74897,18,84
327,74898,18,81
328,74900,17,82
329,74900,20,83
330,74902,27,84
331,74904,20,86
332,74904,15,87
333,74904,26,86
334,74920,20,87
335,74937,18,81
336,74944,25,88
337,74945,23,87
