,objective_function,edges_similarity,nodes_similarity
0,72385,31,87
1,72392,18,85
2,72537,22,88
3,72555,17,89
4,72586,28,89
5,72637,21,87
6,72662,38,87
7,72681,16,90
8,72747,36,86
9,72752,10,87
10,72774,44,90
11,72831,17,89
12,72837,23,87
13,72847,16,87
14,72856,15,87
15,72929,32,87
16,72948,25,88
17,72975,11,87
18,72986,24,88
19,73033,35,89
20,73042,15,89
21,73049,37,86
22,73072,35,86
23,73088,10,88
24,73092,16,86
25,73104,23,84
26,73105,28,88
27,73107,32,88
28,73138,14,90
29,73162,16,89
30,73167,27,87
31,73185,18,88
32,73208,23,88
33,73220,7,93
34,73221,12,86
35,73230,9,86
36,73235,28,91
37,73247,17,88
38,73259,33,89
39,73297,22,86
40,73299,17,89
41,73313,27,87
42,73325,14,91
43,73326,16,89
44,73337,22,87
45,73352,23,91
46,73362,19,87
47,73391,12,89
48,73393,20,86
49,73405,22,86
50,73419,27,90
51,73428,29,90
52,73434,23,87
53,73435,23,87
54,73437,21,88
55,73439,19,89
56,73449,27,86
57,73455,34,91
58,73483,30,87
59,73502,26,88
60,73502,29,89
61,73506,21,87
62,73515,16,87
63,73519,12,85
64,73531,26,87
65,73537,32,88
66,73538,33,88
67,73541,30,88
68,73544,24,87
69,73555,14,88
70,73560,16,87
71,73566,28,87
72,73587,23,87
73,73611,32,88
74,73622,21,89
75,73634,28,84
76,73675,11,89
77,73684,11,84
78,73686,16,88
79,73687,33,86
80,73697,17,87
81,73704,17,87
82,73709,13,89
83,73743,12,88
84,73762,15,90
85,73770,25,86
86,73773,26,86
87,73775,22,87
88,73792,15,88
89,73801,15,85
90,73802,26,86
91,73811,4,87
92,73811,25,86
93,73820,39,85
94,73834,7,89
95,73844,24,87
96,73850,9,91
97,73856,24,88
98,73861,20,87
99,73861,28,84
100,73870,22,87
101,73883,22,88
102,73889,8,86
103,73899,16,86
104,73900,12,87
105,73902,12,90
106,73917,20,87
107,73924,25,87
108,73927,12,89
109,73928,22,86
110,73931,7,83
111,73933,29,88
112,73934,16,84
113,73940,16,86
114,73949,33,89
115,73968,7,86
116,73980,19,87
117,73995,13,87
118,74003,30,85
119,74004,22,88
120,74007,15,88
121,74020,21,88
122,74023,13,87
123,74025,27,86
124,74044,13,85
125,74051,40,88
126,74054,24,90
127,74057,11,81
128,74059,34,88
129,74060,7,85
130,74071,17,88
131,74072,20,84
132,74075,21,88
133,74079,26,86
134,74082,23,86
135,74089,15,88
136,74090,18,84
137,74092,12,87
138,74093,37,88
139,74094,30,89
140,74102,9,87
141,74112,28,88
142,74112,13,86
143,74112,23,84
144,74122,38,88
145,74136,9,86
146,74139,17,85
147,74141,13,85
148,74145,28,88
149,74146,11,87
150,74149,24,89
151,74149,16,86
152,74150,20,92
153,74152,18,88
154,74157,19,88
155,74164,12,84
156,74166,11,84
157,74167,32,87
158,74168,24,89
159,74172,11,86
160,74175,10,86
161,74176,7,87
162,74178,25,85
163,74178,26,85
164,74188,30,87
165,74193,14,89
166,74196,13,87
167,74199,9,86
168,74211,18,83
169,74211,25,88
170,74215,27,87
171,74220,14,87
172,74223,22,86
173,74224,25,86
174,74228,25,86
175,74228,31,88
176,74235,13,88
177,74237,39,89
178,74238,6,87
179,74239,24,90
180,74241,13,86
181,74241,19,89
182,74249,27,88
183,74260,15,88
184,74261,10,86
185,74262,21,83
186,74263,24,89
187,74284,30,87
188,74285,11,87
189,74286,10,87
190,74289,27,88
191,74291,29,85
192,74294,18,87
193,74296,13,85
194,74301,36,87
195,74306,14,88
196,74312,25,84
197,74315,17,85
198,74319,19,87
199,74340,38,90
200,74340,29,86
201,74347,32,89
202,74349,13,89
203,74357,14,84
204,74361,14,87
205,74365,15,84
206,74379,25,87
207,74383,25,86
208,74385,26,87
209,74393,15,88
210,74398,27,86
211,74406,11,87
212,74408,23,87
213,74414,12,91
214,74418,13,88
215,74428,26,86
216,74430,27,88
217,74434,16,85
218,74434,28,90
219,74441,9,88
220,74446,16,88
221,74450,24,87
222,74451,12,87
223,74451,17,85
224,74453,24,88
225,74453,19,87
226,74465,28,87
227,74470,11,89
228,74480,18,85
229,74486,25,86
230,74493,11,89
231,74493,21,85
232,74493,8,89
233,74494,14,86
234,74494,27,84
235,74500,7,86
236,74509,40,90
237,74517,33,88
238,74528,17,83
239,74542,28,87
240,74542,27,88
241,74544,28,88
242,74545,17,86
243,74551,11,88
244,74551,31,85
245,74569,28,87
246,74572,16,86
247,74573,13,83
248,74578,14,87
249,74582,27,87
250,74588,14,88
251,74591,27,88
252,74593,17,88
253,74594,8,89
254,74607,19,85
255,74614,19,86
256,74615,36,84
257,74616,18,83
258,74636,23,84
259,74637,24,86
260,74641,14,87
261,74648,19,85
262,74654,9,88
263,74660,15,88
264,74662,16,86
265,74671,11,82
266,74672,10,87
267,74677,18,85
268,74678,22,85
269,74681,18,91
270,74687,9,90
271,74693,32,87
272,74697,16,88
273,74706,28,86
274,74710,30,84
275,74711,25,88
276,74713,20,88
277,74719,27,86
278,74719,25,85
279,74724,27,83
280,74730,30,91
281,74731,17,87
282,74744,28,87
283,74747,33,84
284,74755,18,87
285,74759,19,90
286,74762,21,88
287,74764,7,86
288,74766,15,86
289,74775,24,90
290,74777,27,87
291,74780,12,85
292,74782,14,83
293,74783,10,88
294,74796,28,90
295,74796,11,86
296,74798,27,83
297,74800,11,87
298,74804,33,86
299,74805,18,83
300,74812,27,87
301,74812,30,84
302,74821,16,87
303,74821,16,86
304,74822,11,86
305,74826,33,87
306,74827,21,91
307,74840,23,85
308,74847,15,85
309,74848,17,86
310,74850,29,87
311,74852,28,87
312,74853,28,88
313,74855,31,90
314,74859,20,84
315,74864,11,85
316,74865,19,87
317,74865,21,89
318,74870,21,86
319,74871,15,86
320,74883,16,85
321,74885,26,86
322,74886,17,86
323,74888,21,88
324,74894,14,85
325,74897,16,82
326,74898,31,86
327,74900,23,83
328,74900,7,87
329,74902,18,88
330,74904,15,86
331,74904,22,86
332,74904,10,88
333,74920,21,85
334,74937,34,86
335,74944,5,84
336,74945,11,85
337,74948,17,86
338,74951,18,87
339,74952,23,85
340,74968,28,86
341,74968,27,86
342,74973,11,82
343,74976,19,86
344,74990,31,89
345,74990,24,87
346,74994,19,85
347,74994,15,89
348,74996,17,84
349,74997,34,82
350,74999,16,87
351,74999,21,90
352,75000,23,87
353,75002,24,85
354,75008,36,89
355,75009,36,85
356,75015,21,87
357,75015,7,87
358,75017,20,86
359,75018,14,86
360,75021,20,89
361,75032,36,88
362,75035,14,84
363,75036,18,87
