,objective_function,edges_similarity,nodes_similarity
0,46603,27,83
1,46768,9,81
2,46815,23,79
3,46945,19,79
4,47010,18,81
5,47035,11,81
6,47045,10,83
7,47052,22,81
8,47104,20,84
9,47201,14,79
10,47223,11,83
11,47225,12,79
12,47332,5,74
13,47339,27,80
14,47346,8,84
15,47412,22,80
16,47421,8,79
17,47486,7,80
18,47542,27,82
19,47547,8,78
20,47556,12,82
21,47559,10,80
22,47563,28,85
23,47604,14,80
24,47611,27,81
25,47689,18,82
26,47704,27,84
27,47707,21,79
28,47733,23,80
29,47759,8,80
30,47776,14,78
31,47788,33,80
32,47794,23,79
33,47800,12,80
34,47802,10,77
35,47845,13,82
36,47868,27,80
37,47873,5,81
38,47906,12,78
39,47910,18,78
40,47933,10,81
41,47937,14,85
42,47955,26,80
43,47965,13,81
44,47969,16,79
45,47998,11,80
46,48001,20,84
47,48005,19,81
48,48026,26,79
49,48046,27,78
50,48065,32,81
51,48074,25,84
52,48079,23,77
53,48083,28,83
54,48085,11,80
55,48090,8,80
56,48093,22,85
57,48093,8,81
58,48096,14,80
59,48139,16,83
60,48141,11,81
61,48144,9,82
62,48144,21,81
63,48161,25,78
64,48163,14,82
65,48163,11,80
66,48166,15,77
67,48175,16,80
68,48179,17,81
69,48180,12,77
70,48186,21,81
71,48191,11,78
72,48195,11,80
73,48201,11,79
74,48203,12,76
75,48208,27,81
76,48208,8,83
77,48226,23,80
78,48228,11,79
79,48237,17,77
80,48239,18,79
81,48269,15,84
82,48272,12,78
83,48275,24,83
84,48281,20,84
85,48294,19,80
86,48302,15,80
87,48303,18,77
88,48308,25,80
89,48322,26,80
90,48353,14,80
91,48361,8,78
92,48379,14,78
93,48392,16,80
94,48392,20,80
95,48398,9,78
96,48402,12,80
97,48410,16,75
98,48419,22,74
99,48420,30,79
100,48427,28,83
101,48433,16,79
102,48439,28,81
103,48444,10,80
104,48444,10,83
105,48447,21,82
106,48448,22,84
107,48456,15,79
108,48461,9,78
109,48461,21,81
110,48466,10,81
111,48473,13,81
112,48491,30,80
113,48498,23,81
114,48503,14,79
115,48504,28,81
116,48510,16,80
117,48510,23,82
118,48513,5,79
119,48514,13,78
120,48518,11,84
121,48524,23,79
122,48525,12,83
123,48527,12,79
124,48527,24,79
125,48533,12,81
126,48534,9,81
127,48541,13,83
128,48546,14,79
129,48558,14,85
130,48563,24,80
131,48573,6,78
132,48577,18,73
133,48582,15,77
134,48592,30,84
135,48592,13,81
136,48614,11,79
137,48621,20,76
138,48626,6,75
139,48631,10,85
140,48639,10,78
141,48646,19,77
142,48648,14,78
143,48648,8,82
144,48649,15,78
145,48650,19,80
146,48652,24,81
147,48658,25,80
148,48665,12,77
149,48673,16,82
150,48676,7,81
151,48682,22,82
152,48691,21,81
153,48692,23,80
154,48698,7,81
155,48699,11,77
156,48702,13,80
157,48704,15,78
158,48708,18,83
159,48710,21,80
160,48719,11,79
161,48719,11,81
162,48719,29,81
163,48727,14,82
164,48731,26,80
165,48732,14,82
166,48737,16,82
167,48741,21,81
168,48748,9,81
169,48748,12,77
170,48750,18,76
171,48754,25,80
172,48757,27,84
173,48762,27,80
174,48764,21,80
175,48766,12,75
176,48766,13,81
177,48767,22,78
178,48774,10,78
179,48775,8,80
180,48776,20,79
181,48778,11,79
182,48778,14,81
183,48783,16,81
184,48802,15,80
185,48802,20,79
186,48816,26,82
187,48818,23,77
188,48820,13,76
189,48820,22,83
190,48824,19,76
191,48831,9,79
192,48833,23,81
193,48834,13,78
194,48852,23,77
195,48852,18,82
196,48853,11,76
197,48853,23,79
198,48861,15,80
199,48866,23,78
200,48868,21,79
201,48877,10,79
202,48881,11,80
203,48885,16,84
204,48890,32,82
205,48898,29,83
206,48903,10,76
207,48905,14,83
208,48906,18,76
209,48907,13,80
210,48907,27,81
211,48908,19,84
212,48912,8,78
213,48914,22,81
214,48915,26,81
215,48916,15,76
216,48923,12,78
217,48923,24,80
218,48942,12,79
219,48943,17,77
220,48944,7,81
221,48950,16,79
222,48951,6,80
223,48955,23,80
224,48957,15,85
225,48959,14,77
226,48960,11,79
227,48968,7,74
228,48971,23,79
229,48971,24,85
230,48976,7,79
231,48976,19,82
232,48979,28,87
233,48981,11,81
234,48991,22,83
235,48993,11,79
236,48994,6,82
237,48995,26,79
238,49000,19,84
239,49012,10,83
240,49015,18,78
241,49018,19,80
242,49018,26,82
243,49021,23,82
244,49022,14,76
245,49033,18,84
246,49034,12,84
247,49040,23,79
248,49040,21,80
249,49045,9,81
250,49046,17,82
251,49046,10,79
252,49054,23,81
253,49063,8,77
254,49067,18,82
255,49068,28,76
256,49070,11,78
257,49077,28,80
258,49084,15,84
259,49091,16,77
260,49093,14,76
261,49094,23,80
262,49094,16,81
263,49097,8,71
264,49098,21,79
265,49102,14,77
266,49102,9,75
267,49103,20,81
268,49113,11,73
269,49115,17,80
270,49121,14,78
271,49124,10,82
272,49133,9,79
273,49134,23,84
274,49136,11,79
275,49140,17,74
276,49150,27,79
277,49153,19,81
278,49156,11,80
279,49157,11,76
280,49159,16,78
281,49161,11,76
282,49173,23,82
283,49174,13,79
284,49177,21,82
285,49183,13,77
286,49194,10,81
287,49200,8,83
288,49203,15,79
289,49204,20,77
290,49205,9,80
291,49207,17,80
292,49207,7,78
293,49209,23,80
294,49211,11,80
295,49212,21,77
296,49214,12,80
297,49224,9,79
298,49227,6,72
299,49231,11,80
300,49234,20,82
301,49242,22,77
302,49243,15,77
303,49244,29,79
304,49249,28,77
305,49253,19,79
306,49256,15,79
307,49257,17,79
308,49258,22,82
309,49262,8,81
310,49264,5,79
311,49272,27,83
312,49276,14,77
313,49278,23,79
314,49280,15,78
315,49282,19,79
316,49284,29,80
317,49287,24,83
318,49288,23,81
319,49293,24,80
320,49294,13,81
321,49303,14,75
322,49313,15,77
323,49315,22,79
324,49320,13,78
325,49334,21,81
326,49348,27,80
327,49348,18,81
328,49353,19,80
