,objective_function,edges_similarity,nodes_similarity
0,46768,44,86
1,46815,48,87
2,46945,44,86
3,47010,41,85
4,47035,40,88
5,47045,41,87
6,47052,44,84
7,47104,50,90
8,47201,42,87
9,47223,46,84
10,47225,40,84
11,47332,47,83
12,47339,51,84
13,47346,41,87
14,47412,54,89
15,47421,44,84
16,47486,46,89
17,47542,40,86
18,47547,46,83
19,47556,44,85
20,47559,46,84
21,47563,43,87
22,47604,45,87
23,47611,52,87
24,47689,41,83
25,47704,40,82
26,47707,47,85
27,47733,55,84
28,47759,52,87
29,47776,46,84
30,47788,42,84
31,47794,42,83
32,47800,47,86
33,47802,48,86
34,47845,39,83
35,47868,44,84
36,47873,44,83
37,47906,36,81
38,47910,54,87
39,47933,40,86
40,47937,38,84
41,47955,48,88
42,47965,46,86
43,47969,43,84
44,47998,44,86
45,48001,48,86
46,48005,42,88
47,48026,50,86
48,48046,43,84
49,48065,48,86
50,48074,44,84
51,48079,43,83
52,48083,40,85
53,48085,45,84
54,48090,44,85
55,48093,48,86
56,48093,39,83
57,48096,40,83
58,48139,43,85
59,48141,43,83
60,48144,38,85
61,48144,42,85
62,48161,38,82
63,48163,48,87
64,48163,51,88
65,48166,48,86
66,48175,39,85
67,48179,47,87
68,48180,36,81
69,48186,36,81
70,48191,49,85
71,48195,47,89
72,48201,40,82
73,48203,42,83
74,48208,37,81
75,48208,39,82
76,48226,38,83
77,48228,43,84
78,48237,41,83
79,48239,41,86
80,48269,44,84
81,48272,39,85
82,48275,40,85
83,48281,44,90
84,48294,49,85
85,48302,48,86
86,48303,50,86
87,48308,44,85
88,48322,44,84
89,48353,44,83
90,48361,45,86
91,48379,42,84
92,48392,47,87
93,48392,41,84
94,48398,45,87
95,48402,42,87
96,48410,49,83
97,48419,46,85
98,48420,37,82
99,48427,42,86
100,48433,43,85
101,48439,44,83
102,48444,46,86
103,48444,40,81
104,48447,49,87
105,48448,44,86
106,48456,43,85
107,48461,41,82
108,48461,49,89
109,48466,50,83
110,48473,45,84
111,48491,44,80
112,48498,48,87
113,48503,46,85
114,48504,43,84
115,48510,40,84
